Symbol	Description
AADR	Advisorshares Dorsey Wright ADR
AAMC	Altisource Asset
AAU	Almaden Minerals
ABE	Aberdeen EM Smaller Company Fund
ACIM	ACWI IMI MSCI ETF SPDR
ACSI	American Customer Satisfaction Core Alpha ETF
ACU	Acme United Corp
ACWF	Ishares Global Multifactor ETF
ACWV	All Country World Min Vol MSCI Ishares
ACY	Aerocentury Corp
ADZ	DB Agriculture -1X ETN Powershares
AE	Adams Resources & Energy
AFK	Africa Index ETF Vaneck
AFTY	CSOP FTSE China A50 ETF
AGA	DB Agriculture -2X ETN Powershares
AGF	DB Agriculture ETN Powershares
AGG	Aggregate Bond Ishares
AGGE	IQ Enhanced Core Bond U.S. ETF
AGGP	IQ Enhanced Core Plus Bond U.S.
AGGY	Wisdomtree Yield Enhcd US Agg Bond Fund
AGQ	Ultra Silver Proshares
AGT	Argentina Index MSCI Ishares
AGZ	Agency Bond Ishares
AIEQ	Ai Powered Equity ETF
AINC	Ashford Inc
AIRI	Air Industries Group Inc
AKG	Asanko Gold Inc
ALD	Asia Local Debt ETF Wisdomtree
ALFA	Alphaclone Alternative Alpha ETF
ALFI	Alphaclone International ETF
ALN	American Lorain Corp
ALO	Alio Gold Corp
ALTS	Mstar Alternative Solutions Proshares
AMJ	Alerian MLP Index ETN JP Morgan
AMJL	X-Links Mthy Pay 2X Leveraged Alerian MLP
AMLP	Alps Alerian MLP ETF
AMLX	Oil Hedged MLP Income ETF
AMPE	Ampio Pharmaceutical
AMS	American Shared Hospital Services
AMU	Etracs Alerian MLP Index ETN
AMUB	Etracs Alerian MLP ETN Series B
AMZA	Infracap MLP ETF
ANGL	Fallen Angel HY Bond ETF Vaneck
AOA	S&P Aggressive Allocation Ishares
AOK	S&P Conservative Allocation Ishares
AOM	S&P Moderate Allocation Ishares
AOR	S&P Growth Allocation Ishares
APHB	Ampliphi Biosciences Corp
APT	Alpha Pro Tech
ARCM	Arrow Reserve Capital Management ETF
ARGT	G-X FTSE Argentina 20 ETF
ARKG	Ark Genomic Revolution Multi-Sector ETF
ARKK	Ark Innovation ETF
ARKQ	Ark Industrial Innovation ETF
ARKW	Ark Web X.0 ETF
ARN.P	Arconic Inc Pf 3.75
ASB.W	Associated Banc-Corp WT
ASEA	G-X FTSE Asean 40 ETF
ASHR	Db-Xt Harvest CSI 300 China A
ASHS	Db-Xt Harvest CSI 500 China A
ASHX	Db-Xt CSI 300 China A Hgd Eq
ASM	Avino Silver & Gold
AST	Asterias Biotherapeutics Inc
ATMP	Barclays Plus Select MLP ETN
ATNM	Actinium Pharmaceuticals Inc
AUG	Auryn Resources Inc
AUMN	Golden Minerals Co
AUSE	Australia Dividend Wisdomtree
